layer,cum_explained_first50
0,0.5711205
1,0.68452704
2,0.71343666
3,0.7182996
4,0.7078108
5,0.6944204
6,0.68207717
7,0.6765154
8,0.6960603
9,0.7542667
10,0.797167
11,0.8275069
12,0.8476119
13,0.85775
14,0.86304665
15,0.86465245
16,0.86165595
17,0.85744226
18,0.85024315
19,0.84181136
20,0.8312795
21,0.8213309
22,0.80994135
23,0.79473186
24,0.78156275
25,0.76935875
26,0.75587267
27,0.7443096
28,0.7347799
29,0.7226167
30,0.71675724
31,0.7149556
32,0.71316457
33,0.7146822
34,0.71851254
35,0.724952
36,0.7337955
37,0.74882674
38,0.76442295
39,0.7790125
40,0.7944501
41,0.8074825
42,0.819388
43,0.83104604
44,0.8415701
45,0.8458902
46,0.84932333
47,0.848583
48,0.534538
